DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,CCI_
2012-01-04,2211.995,2217.52,2168.644,2169.39,4924553700.0,0
2012-01-05,2160.898,2183.404,2145.556,2148.452,5874344700.0,0
2012-01-06,2148.147,2164.322,2132.626,2163.395,5058305400.0,0
2012-01-09,2164.741,2226.218,2148.453,2225.89,7675983900.0,0
2012-01-10,2221.832,2288.628,2218.275,2285.744,10958541500.0,0
2012-01-11,2282.913,2290.644,2265.185,2276.046,8444178100.0,0
2012-01-12,2268.739,2295.224,2265.256,2275.01,7156999400.0,0
2012-01-13,2277.08,2281.532,2225.736,2244.58,7147432200.0,0
2012-01-16,2230.433,2241.259,2206.045,2206.193,4585952200.0,0
2012-01-17,2206.531,2298.376,2196.117,2298.376,8780356000.0,0
2012-01-18,2298.834,2311.579,2257.898,2266.384,8994042200.0,0
2012-01-19,2266.076,2305.707,2259.337,2296.075,7249886100.0,0
2012-01-20,2300.5,2322.891,2293.893,2319.118,6992275300.0,0
2012-01-30,2324.493,2324.493,2284.291,2285.038,5841368700.0,0
2012-01-31,2285.954,2296.384,2277.056,2292.61,4873832500.0,0
2012-02-01,2288.066,2305.863,2263.342,2268.08,5355381100.0,0
2012-02-02,2273.85,2312.556,2268.687,2312.556,6347187200.0,0
2012-02-03,2306.656,2336.267,2300.982,2330.405,7894369700.0,0
2012-02-06,2334.248,2341.575,2317.422,2331.136,7573447700.0,0
2012-02-07,2319.421,2319.708,2278.825,2291.902,6732690600.0,0
2012-02-08,2291.812,2350.965,2286.819,2347.53,8711452800.0,0
2012-02-09,2344.224,2363.613,2333.935,2349.589,9803232500.0,0
2012-02-10,2342.011,2368.979,2339.885,2351.981,9650161900.0,0
2012-02-13,2332.055,2365.339,2325.028,2351.855,8626358500.0,0
2012-02-14,2348.877,2352.469,2332.247,2344.771,7313041300.0,0
2012-02-15,2340.455,2374.282,2335.101,2366.702,9886102100.0,0
2012-02-16,2363.897,2373.804,2342.073,2356.86,9505116900.0,0
2012-02-17,2366.63,2372.512,2344.76,2357.181,7192483900.0,0
2012-02-20,2383.686,2388.009,2362.012,2363.597,8891158600.0,0
2012-02-21,2365.487,2382.146,2345.053,2381.43,7934866900.0,0
2012-02-22,2380.504,2404.442,2374.03,2403.587,11868426900.0,0
2012-02-23,2401.738,2416.805,2396.71,2409.554,11255359300.0,0
2012-02-24,2410.881,2439.977,2405.274,2439.628,13490324900.0,0
2012-02-27,2447.406,2478.375,2444.629,2447.057,15807324400.0,0
2012-02-28,2440.914,2458.651,2431.828,2451.857,11836199300.0,0
2012-02-29,2446.228,2453.067,2426.329,2428.487,9553695200.0,0
2012-03-01,2418.788,2437.874,2418.334,2426.115,7508328900.0,0
2012-03-02,2430.098,2461.121,2430.098,2460.693,10322837800.0,0
2012-03-05,2464.849,2469.841,2442.115,2445.002,11269332600.0,0
2012-03-06,2439.779,2442.001,2406.056,2410.445,10370901200.0,0
2012-03-07,2391.203,2413.695,2388.519,2394.794,9479063600.0,0
2012-03-08,2401.102,2426.698,2401.102,2420.276,9678213400.0,0
2012-03-09,2425.885,2440.511,2414.966,2439.462,10062405500.0,0
2012-03-12,2438.546,2440.857,2420.84,2434.859,10622305900.0,0
2012-03-13,2432.843,2457.22,2428.609,2455.795,10464971200.0,0
2012-03-14,2464.915,2476.216,2382.836,2391.23,17978602900.0,0
2012-03-15,2388.063,2403.742,2366.024,2373.774,12002549900.0,0
2012-03-16,2377.757,2406.148,2368.311,2404.736,10367562200.0,0
2012-03-19,2401.217,2412.336,2383.674,2410.184,10215349000.0,0
2012-03-20,2407.542,2407.542,2376.031,2376.839,9790393500.0,0
2012-03-21,2384.709,2396.722,2361.222,2378.195,9568653800.0,0
2012-03-22,2376.991,2386.099,2364.13,2375.772,7934888000.0,0
2012-03-23,2369.077,2371.263,2342.12,2349.539,7686213900.0,0
2012-03-26,2349.086,2357.996,2339.141,2350.599,5542773300.0,0
2012-03-27,2358.545,2363.766,2344.304,2347.179,6088111600.0,0
2012-03-28,2341.003,2341.42,2281.433,2284.881,8364528300.0,0
2012-03-29,2276.74,2280.958,2242.345,2252.16,7424808400.0,0
2012-03-30,2256.042,2266.208,2246.245,2262.788,6202414700.0,0
2012-04-05,2258.031,2303.824,2251.393,2302.241,8010145600.0,0
2012-04-06,2299.055,2309.64,2291.559,2306.553,7213652100.0,0
2012-04-09,2300.051,2304.65,2284.442,2285.777,5976063900.0,0
2012-04-10,2281.024,2306.387,2258.853,2305.863,6734552600.0,0
2012-04-11,2286.716,2319.053,2280.035,2308.925,7513007000.0,0
2012-04-12,2310.484,2351.055,2307.841,2350.864,9768789500.0,0
2012-04-13,2351.513,2369.701,2346.944,2359.161,9877441400.0,0
2012-04-16,2346.307,2364.111,2342.199,2357.026,8532268200.0,0
2012-04-17,2355.369,2363.013,2333.341,2334.985,8468844500.0,0
2012-04-18,2341.135,2383.64,2337.857,2380.848,10861254400.0,0
2012-04-19,2378.632,2386.978,2369.459,2378.634,9427242100.0,0
2012-04-20,2374.662,2407.294,2372.13,2406.863,11552206200.0,0
2012-04-23,2403.521,2411.51,2383.068,2388.588,12290755800.0,0
2012-04-24,2380.236,2415.749,2350.399,2388.834,13372235400.0,0
2012-04-25,2382.211,2411.421,2376.626,2406.813,13097286700.0,0
2012-04-26,2408.558,2414.754,2393.265,2404.697,11552958700.0,0
2012-04-27,2402.431,2408.42,2393.867,2396.316,9122835000.0,0
2012-05-02,2421.082,2446.35,2407.788,2438.436,12800600600.0,0
2012-05-03,2433.589,2441.953,2427.728,2440.08,10224849300.0,0
2012-05-04,2437.465,2453.731,2427.969,2452.014,10220487100.0,0
2012-05-07,2441.757,2451.947,2432.736,2451.947,10883010700.0,0
