DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,KING_
2021-01-04,3474.6793,3511.6554,3457.2061,3502.9584,38079080000.0,0
2021-01-05,3492.1912,3528.6767,3484.7151,3528.6767,40799593400.0,0
2021-01-06,3530.9072,3556.8022,3513.1262,3550.8767,37023092600.0,0
2021-01-07,3552.9087,3576.2046,3526.6174,3576.2046,40534822600.0,0
2021-01-08,3577.6923,3588.0625,3544.8912,3570.1082,34555789600.0,0
2021-01-11,3571.3212,3597.7022,3516.9862,3531.4978,36247915400.0,0
2021-01-12,3518.0106,3608.3389,3517.4689,3608.3389,32340615300.0,0
2021-01-13,3613.281,3622.3475,3575.5945,3598.6518,38812779100.0,0
2021-01-14,3584.9324,3599.0584,3559.6001,3565.9046,34766681900.0,-1
2021-01-15,3566.2847,3589.2655,3533.7882,3566.3778,32461274400.0,-1
2021-01-18,3554.7977,3608.7665,3544.2614,3596.2237,30165256500.0,-1
2021-01-19,3596.3564,3603.1477,3553.0236,3566.3814,32343954100.0,0
2021-01-20,3564.121,3589.9624,3556.4425,3583.092,27227166100.0,0
2021-01-21,3590.9247,3636.2444,3585.8017,3621.2641,32746699500.0,0
2021-01-22,3616.5401,3616.5401,3585.0339,3606.7496,32446308400.0,-1
2021-01-25,3605.3611,3637.1002,3591.0204,3624.2381,32734107000.0,-1
2021-01-26,3610.9686,3610.9686,3564.7415,3569.429,27813988400.0,-1
2021-01-27,3567.5485,3578.7968,3546.492,3573.3412,26410716100.0,0
2021-01-28,3534.6685,3549.544,3496.8788,3505.1759,27086246100.0,0
2021-01-29,3521.7175,3531.5981,3446.5471,3483.0692,29366266400.0,0
2021-02-01,3477.1715,3506.3889,3469.875,3505.2836,27756790100.0,0
2021-02-02,3510.8084,3535.502,3495.5681,3533.6849,26454063000.0,1
2021-02-03,3531.149,3544.0092,3508.5069,3517.308,29735171600.0,1
2021-02-04,3503.7785,3524.7219,3465.7706,3501.8592,29883485400.0,1
2021-02-05,3509.4874,3536.5417,3492.9624,3496.3329,29014617400.0,0
2021-02-08,3504.5631,3542.2075,3492.1286,3532.4467,24979961900.0,0
2021-02-09,3539.7726,3604.0112,3528.6755,3603.489,25382176000.0,0
2021-02-10,3612.6125,3662.7655,3612.5049,3655.088,25794082400.0,-1
2021-02-18,3721.0865,3731.687,3663.6637,3675.3571,34030906500.0,-1
2021-02-19,3661.7834,3699.6502,3634.0149,3696.168,36105980400.0,0
2021-02-22,3707.1912,3717.2669,3642.4449,3642.4449,48882147800.0,0
2021-02-23,3617.7013,3672.1511,3617.7013,3636.3573,39887317400.0,0
2021-02-24,3638.9359,3645.6474,3531.5936,3564.0799,36215895200.0,0
2021-02-25,3595.5424,3608.5568,3568.4735,3585.0458,36623229900.0,0
2021-02-26,3514.5648,3550.4055,3500.7036,3509.0804,33328006700.0,0
2021-03-01,3531.4802,3552.5665,3511.9888,3551.3998,31548752600.0,0
2021-03-02,3566.852,3566.852,3485.3635,3508.5912,33983048600.0,0
2021-03-03,3500.1576,3577.6218,3498.7192,3576.9045,34765684600.0,0
2021-03-04,3546.6406,3552.2024,3487.3757,3503.4916,39361612000.0,0
2021-03-05,3463.3086,3523.5682,3456.6668,3501.9867,35640922300.0,0
2021-03-08,3524.983,3542.3039,3421.2153,3421.4141,38704795400.0,0
2021-03-09,3415.3391,3429.1503,3328.3119,3359.292,40765253900.0,0
2021-03-10,3389.8388,3397.0251,3354.823,3357.7372,29974916600.0,0
